Dataset|Target Name|RA (J2000)|Dec (J2000)|Ref|Start Time|Stop Time|Exp Time|Instrument|Apertures|Filters/Gratings|Proposal ID|Release Date|Preview Name|High-Level Science Products|Ang Sep (')
string|string|ra|dec|integer|datetime|datetime|float|string|string|string|integer|datetime|string|integer|float
J8Z457011|SN2003GS|02 27 38.36|-01 09 35.4|9|2004-09-29 20:30:28|2004-09-29 20:45:17|840.000|ACS   |HRC-FIX|CLEAR1S;F435W|10272|2004-09-30 04:42:14|J8Z457011||0.310
J8Z457021|SN2003GS|02 27 38.36|-01 09 35.4|9|2004-09-29 20:46:50|2004-09-29 20:53:43|360.000|ACS   |HRC-FIX|F625W;CLEAR2S|10272|2004-09-30 04:44:14|J8Z457021||0.310
J8Z458011|SN2003GS|02 27 38.36|-01 09 35.4|9|2004-10-11 07:39:45|2004-10-11 07:48:33|480.000|ACS   |HRC-FIX|F555W;CLEAR2S|10272|2004-10-11 14:40:47|J8Z458011||0.310
J8Z458021|SN2003GS|02 27 38.36|-01 09 35.4|9|2004-10-11 07:50:22|2004-10-11 08:03:10|720.000|ACS   |HRC-FIX|CLEAR1S;F814W|10272|2004-10-11 14:42:18|J8Z458021||0.310
J8Z460011|SN2003GS|02 27 38.36|-01 09 35.4|9|2005-06-19 19:12:33|2005-06-19 19:21:21|480.000|ACS   |HRC-FIX|F555W;CLEAR2S|10272|2005-06-20 01:48:23|J8Z460011||0.310
J8Z460021|SN2003GS|02 27 38.36|-01 09 35.4|9|2005-06-19 19:23:10|2005-06-19 19:35:58|720.000|ACS   |HRC-FIX|CLEAR1S;F814W|10272|2005-06-20 01:49:53|J8Z460021||0.310
U2JF0301T|NGC936-NUC|02 27 38.41|-01 09 46.1|11|1994-10-26 16:36:16|1994-10-26 16:36:32|16.000|WFPC2 |PC1|F555W|5741|1995-10-27 17:54:59|U2JF0301T||0.457
U2JF0302T|NGC936-NUC|02 27 38.41|-01 09 46.1|11|1994-10-26 16:38:16|1994-10-26 16:40:36|140.000|WFPC2 |PC1|F555W|5741|1995-10-27 18:17:36|U2JF0302T||0.457
U2JF0303T|NGC936-NUC|02 27 38.41|-01 09 46.1|11|1994-10-26 16:42:16|1994-10-26 16:44:36|140.000|WFPC2 |PC1|F555W|5741|1995-10-27 18:22:44|U2JF0303T||0.457

